yrname,month,rainsum
1958-GRACE,9,366.9
1958-HELEN,9,11.3
1958-WINNIE,7,4886.9
1959-AMY,10,296.5
1959-BABS,10,110.8
1959-BILLIE,7,725.1
1959-CHARLOTTE,10,1217.6
1959-ELLEN,8,565.6
1959-EMMA,11,1255.9
1959-FREDA,11,733.3
1959-IRIS,8,170.6
1959-JOAN,8,557.1
1959-KATE,8,16.5
1959-LOUISE,9,459.1
1959-NORA,9,610.4
1959-SARAH,9,898.9
1960-AGNES,8,1003.4
1960-CARMEN,8,1938.6
1960-ELAINE,8,2595.4
1960-GLORIA,9,277.8
1960-KAREN,4,512.4
1960-MARY,6,3760.1
1960-NADINE,6,822.6
1960-OLIVE,6,570.8
1960-POLLY,7,1324.7
1960-SHIRLEY,7,6462.9
1960-TRIX,8,2786.6
1961-ALICE,5,554.3
1961-BETTY,5,3133.9
1961-DORIS,6,1084.3
1961-ELSIE,7,2735.7
1961-FLOSSIE,7,789.7
1961-JUNE,8,2419.6
1961-LORNA,8,1890.3
1961-NANCY,9,526.8
1961-PAMELA,9,1943.5
1961-SALLY,9,2091.6
1961-TILDA,10,439.3
1962-AMY,9,3961.8
1962-DINAH,10,1734.6
1962-GILDA,10,101.2
1962-HOPE,5,65.1
1962-IRIS,5,384.1
1962-JOAN,7,26.0
1962-KAREN,11,81.6
1962-KATE,7,4786.8
1962-NORA,7,793.1
1962-OPAL,8,3146.5
1962-SARAH,8,212.2
1962-WANDA,8,2617.5
1963-AGNES,7,727.4
1963-FAYE,9,860.7
1963-GLORIA,9,7764.9
1963-ROSE,6,146.3
1963-SHIRLEY,6,841.3
1963-TRIX,6,1387.4
1963-WENDY,7,2970.1
1964-BETTY,7,144.0
1964-DORIS,7,97.3
1964-DOT,10,1683.8
1964-FLOSSIE,7,237.9
1964-IDA,8,1443.1
1964-JUNE,8,559.5
1964-KATHY,8,1532.7
1964-MARIE,8,1532.7
1964-OPAL,12,305.1
1964-RUBY,9,132.9
1964-SALLY,9,545.9
1964-TILDA,9,503.6
1964-VIOLA,5,434.6
1964-WINNIE,6,94.6
1965-BABE,6,243.5
1965-DINAH,6,1992.8
1965-EMMA,6,176.7
1965-FAYE,11,343.9
1965-FREDA,7,937.2
1965-HARRIET,7,1988.0
1965-IVY,7,366.0
1965-JEAN,8,142.9
1965-MARY,8,4016.8
1965-ROSE,9,146.0
1965-TRIX,9,520.2
1966-ALICE,9,526.1
1966-CORA,9,2649.4
1966-ELSIE,9,4267.2
1966-HELEN,9,730.4
1966-IRMA,5,366.7
1966-JUDY,5,2565.7
1966-MAMIE,7,269.1
1966-NINA,7,97.9
1966-SUSAN,8,3438.6
1966-TESS,8,3433.9
1967-ANITA,6,401.3
1967-BILLIE,7,309.0
1967-CARLA,10,4692.0
1967-CLARA,7,2302.8
1967-DINAH,10,604.3
1967-GILDA,11,2316.2
1967-MARGE,8,845.9
1967-NORA,8,1549.7
1967-VIOLET,4,1550.2
1968-DELLA,9,527.8
1968-ELAINE,9,8580.0
1968-NADINE,7,6549.5
1968-POLLY,8,19.2
1968-ROSE,8,97.4
1968-SHIRLEY,8,1348.6
1968-WENDY,9,2190.4
1969-BETTY,8,1681.5
1969-ELSIE,9,4324.8
1969-FLOSSIE,10,6534.9
1969-VIOLA,7,1689.4
1969-WINNIE,7,57.6
1970-FRAN,9,5534.2
1970-OLGA,7,332.1
1970-WILDA,8,1928.2
1971-AGNES,9,4408.0
1971-BABE,5,483.2
1971-BESS,9,3539.6
1971-LUCY,7,679.6
1971-NADINE,7,3126.6
1972-BETTY,8,4665.7
1972-RITA,7,1643.3
1972-SUSAN,7,2534.1
1972-WINNIE,8,2095.4
1973-BILLIE,7,1160.3
1973-JOAN,8,2112.8
1973-NORA,10,8064.2
1973-PATSY,10,168.2
1973-WILDA,7,1082.6
1974-BESS,10,4036.7
1974-DELLA,10,579.4
1974-ELAINE,10,1496.0
1974-EMMA,6,559.2
1974-GLORIA,11,1646.6
1974-JEAN,7,1034.1
1974-LUCY,8,1290.4
1974-WENDY,9,3565.4
1975-BETTY,9,2460.1
1975-ELSIE,10,897.0
1975-FLOSSIE,10,1107.5
1975-NINA,8,3374.5
1975-ORA,8,999.2
1976-BILLIE,8,3711.6
1976-DOT,8,9.7
1976-FRAN,9,272.1
1976-IRIS,9,1725.3
1976-LOUISE,11,156.9
1976-MARGE,11,443.9
1976-RUBY,6,2704.8
1977-AMY,8,4667.4
1977-BABE,9,69.1
1977-DINAH,9,4376.0
1977-FREDA,9,977.0
1977-RUTH,6,710.7
1977-THELMA,7,3309.7
1977-VERA,7,4008.7
1978-CARMEN,8,13.2
1978-DELLA,8,1359.9
1978-OLIVE,4,1178.7
1978-ORA,10,5633.9
1978-ROSE,6,466.6
1978-WENDY,7,647.2
1979-ELLIS,7,70.3
1979-GORDON,7,1799.7
1979-HOPE,8,1904.4
1979-IRVING,8,3366.6
1979-JUDY,8,2588.8
1979-OWEN,9,524.6
1979-TIP,10,845.0
1980-BETTY,11,1090.1
1980-GEORGIA,5,283.9
1980-IDA,7,1037.1
1980-KIM,7,107.1
1980-NORRIS,8,3101.2
1980-PERCY,9,3033.1
1980-WYNNE,10,284.9
1981-AGNES,8,1105.6
1981-CLARA,9,3980.6
1981-GAY,10,512.8
1981-IKE,6,3895.6
1981-IRMA,11,1685.2
1981-JUNE,6,2679.5
1981-MAURY,7,4165.1
1982-ANDY,7,5885.2
1982-CECIL,8,2650.4
1982-DOT,8,1808.0
1982-FAYE,8,47.0
1982-KEN,9,497.0
1982-NANCY,10,148.1
1982-TESS,7,1967.1
1983-ABBY,8,375.4
1983-ELLEN,9,344.2
1983-FORREST,9,508.3
1983-WAYNE,7,589.8
1984-ALEX,7,1579.3
1984-BILL,11,558.0
1984-FREDA,8,2459.9
1984-GERALD,8,1818.3
1984-HOLLY,8,1280.3
1984-JUNE,8,2665.1
1984-WYNNE,6,1218.8
1985-BRENDA,10,2010.4
1985-HAL,6,1247.3
1985-JEFF,7,1325.6
1985-NELSON,8,5393.5
1985-PAT,8,342.9
1985-TESS,9,1760.2
1985-VAL,9,1870.4
1986-ABBY,9,5878.2
1986-ELLEN,10,826.0
1986-NANCY,6,2091.9
1986-PEGGY,7,2042.8
1986-SARAH,8,536.2
1986-VERA,8,266.5
1986-WAYNE,8,8010.0
1987-ALEX,7,3163.3
1987-CARY,8,271.4
1987-DINAH,8,543.7
1987-GERALD,9,5286.8
1987-LYNN,10,8422.9
1987-THELMA,7,980.9
1987-VERNON,7,1478.1
1988-KIT,9,3367.6
1988-LEE,9,304.3
1988-NELSON,10,563.8
1988-ODESSA,10,528.3
1988-PAT,10,106.2
1988-RUBY,10,2866.3
1988-SUSAN,6,2358.7
1988-WARREN,7,619.9
1989-ANGELA,10,181.4
1989-BRENDA,5,1491.6
1989-GORDON,7,1034.7
1989-HOPE,7,109.0
1989-LOLA,7,1306.6
1989-SARAH,9,8278.3
1989-VERA,9,243.8
1990-ABE,8,2203.0
1990-BECKY,8,619.1
1990-DOT,9,3412.4
1990-ED,9,272.6
1990-MARIAN,5,1742.9
1990-OFELIA,6,4979.0
1990-PERCY,6,862.2
1990-ROBYN,7,1074.3
1990-YANCY,8,5470.4
2000-BEBINCA,11,413.3
2000-BILIS,8,4457.8
2000-BOPHA,9,803.2
2000-KAI-TAK,7,4148.6
2000-PRAPIROON,8,1240.2
2000-XANGSANE,10,8302.9
2000-YAGI,10,243.7
2001-CHEBI,6,1970.5
2001-CIMARON,5,1635.0
2001-HAIYAN,10,703.1
2001-LEKIMA,9,7297.2
2001-NARI,9,11390.1
2001-TORAJI,7,3514.6
2001-TRAMI,7,1238.3
2001-UTOR,7,1101.7
2001-YUTU,7,395.3
2002-NAKRI,7,3467.8
2002-RAMMASUN,7,1632.6
2002-SINLAKU,9,1300.9
2003-DUJUAN,9,1956.7
2003-IMBUDO,7,468.0
2003-KROVANH,8,166.0
2003-KUJIRA,4,532.6
2003-MELOR,11,1510.5
2003-MORAKOT,8,2458.0
2003-NANGKA,6,109.0
2003-SOUDELOR,6,1236.3
2003-VAMCO,8,1386.1
2004-AERE,8,5463.8
2004-CONSON,6,728.7
2004-HAIMA,9,4182.8
2004-KOMPASU,7,171.8
2004-MEARI,9,417.4
2004-MINDULLE,7,9606.3
2004-NANMADOL,12,4323.9
2004-NOCK-TEN,10,2491.7
2004-RANANIM,8,1200.5
2005-DAMREY,9,3272.3
2005-HAITANG,7,10317.2
2005-KHANUN,9,539.9
2005-LONGWANG,10,2097.5
2005-MATSA,8,5244.5
2005-SANVU,8,2107.9
2005-TALIM,8,6278.6
2006-BILIS,7,6397.4
2006-BOPHA,8,1346.5
2006-CHANCHU,5,2486.9
2006-EWINIAR,7,1249.3
2006-KAEMI,7,3640.9
2006-SAOMAI,8,1235.0
2006-SHANSHAN,9,1168.6
2007-KROSA,10,6987.7
2007-MITAG,11,3783.1
2007-PABUK,8,2734.9
2007-SEPAT,8,6076.8
2007-WIPHA,9,3557.9
2007-WUTIP,8,2279.7
2008-FUNG-WONG,7,5674.9
2008-HAGUPIT,9,608.7
2008-JANGMI,9,7999.6
2008-KALMAEGI,7,5645.6
2008-NURI,8,193.8
2008-SINLAKU,9,11537.8
2009-LINFA,6,1867.1
2009-MOLAVE,7,783.1
2009-MORAKOT,8,17187.7
2009-PARMA,10,4204.1
2010-FANAPI,9,4376.3
2010-LIONROCK,8,2704.0
2010-MEGI,10,5191.2
2010-MERANTI,9,1612.1
2010-NAMTHEUN,8,2406.5
2011-AERE,5,218.7
2011-MEARI,6,2025.5
2011-MUIFA,8,154.7
2011-NANMADOL,8,5829.8
2011-SONGDA,5,1049.7
2012-DOKSURI,6,294.6
2012-HAIKUI,8,443.9
2012-JELAWAT,9,364.4
2012-KAI-TAK,8,112.0
