Typhname,Date,Time,gps
1958-GRACE,1958/08/29,12:00,"[[143.0, 11.2], [142.1, 11.6], [141.0, 11.6], [139.9, 12.4], [138.7, 12.8], [137.4, 13.2], [136.5, 14.3], [135.3, 15.0], [133.9, 15.4], [132.5, 15.8], [131.5, 16.6], [130.4, 17.2], [129.1, 17.9], [128.2, 18.8], [127.4, 19.7], [126.7, 20.5], [125.8, 21.3], [124.8, 22.2], [124.0, 23.1], [123.2, 23.7], [123.0, 24.5], [122.1, 25.8], [121.0, 26.5], [120.0, 27.4], [119.9, 28.0], [120.0, 31.0], [122.0, 33.0], [125.0, 35.0]]"
1958-HELEN,1958/09/09,00:00,"[[139.5, 13.6], [138.7, 14.0], [137.5, 14.5], [136.6, 15.1], [135.5, 15.6], [134.7, 16.1], [133.8, 16.5], [133.3, 17.0], [133.0, 17.5], [132.5, 18.0], [132.0, 18.5], [131.7, 19.0], [131.0, 19.4], [130.5, 19.7], [129.8, 20.2], [129.2, 20.6], [129.0, 21.0], [129.0, 21.5], [128.8, 22.2], [128.9, 22.7], [129.2, 23.2], [129.2, 23.8], [129.2, 24.3], [129.7, 24.9], [130.1, 25.5], [131.0, 26.1], [131.3, 26.8], [132.0, 27.1], [132.5, 27.5], [133.0, 27.8], [133.1, 28.1], [133.6, 28.8], [134.0, 29.5], [134.8, 30.7], [135.5, 31.5], [137.6, 33.3], [140.5, 35.5], [143.2, 38.2], [145.2, 41.0], [145.0, 44.5], [145.0, 47.0], [144.5, 50.0], [144.5, 52.0], [145.2, 52.5], [147.0, 52.5], [150.3, 53.0], [153.0, 53.5]]"
1958-TESS,1958/06/29,00:00,"[[156.1, 6.8], [155.1, 7.8], [154.1, 8.8], [153.4, 9.7], [152.6, 10.6], [151.8, 11.5], [150.8, 12.4], [149.8, 13.2], [148.5, 14.1], [147.5, 14.7], [146.1, 15.0], [144.3, 15.2], [143.2, 15.2], [142.1, 15.8], [140.6, 16.3], [139.1, 16.8], [137.4, 17.9], [136.0, 18.7], [134.8, 19.0], [133.5, 19.3], [131.9, 20.1], [130.2, 21.0], [129.0, 21.1], [127.8, 21.3], [126.6, 21.7], [126.0, 22.5], [126.5, 24.2], [127.5, 26.0], [129.0, 27.0]]"
1958-WINNIE,1958/07/12,06:00,"[[131.9, 18.0], [131.1, 19.0], [130.6, 19.3], [130.0, 19.4], [129.5, 19.6], [128.7, 19.8], [127.8, 20.2], [126.9, 20.6], [126.2, 20.9], [125.8, 21.1], [124.7, 21.6], [123.7, 22.0], [122.8, 22.5], [122.1, 23.6], [120.5, 24.0], [118.5, 24.7], [117.0, 25.0], [116.0, 25.0], [115.0, 26.0], [114.0, 26.5], [112.5, 27.0]]"
1959-AMY,1959/10/03,06:00,"[[123.8, 17.2], [124.1, 17.3], [124.3, 17.4], [124.6, 17.6], [124.9, 17.8], [125.4, 18.4], [125.8, 19.1], [126.2, 19.9], [126.5, 20.9], [126.8, 22.2], [127.0, 23.8], [127.9, 26.0], [129.1, 28.6], [130.4, 30.7], [132.0, 32.4], [133.9, 33.8], [136.4, 34.4], [142.0, 35.0], [146.0, 36.0], [149.0, 37.0], [152.5, 38.0], [156.0, 40.0], [161.0, 40.3], [165.0, 40.6]]"
1959-BABS,1959/10/05,12:00,"[[118.5, 14.5], [119.3, 14.5], [119.9, 14.7], [120.2, 15.5], [120.2, 16.4], [120.0, 16.9], [120.0, 17.1], [119.5, 18.0], [119.1, 18.5], [118.9, 19.1], [118.8, 19.8], [118.8, 20.3], [118.9, 21.0], [119.7, 21.2], [120.8, 21.3], [121.8, 21.9], [122.1, 22.2], [123.0, 22.9], [123.9, 23.2]]"
1959-BILLIE,1959/07/12,00:00,"[[131.7, 12.6], [130.8, 13.4], [130.2, 14.2], [129.6, 15.0], [129.1, 15.7], [128.6, 16.3], [128.0, 17.2], [127.2, 18.2], [126.5, 19.2], [125.9, 20.3], [125.2, 21.5], [124.5, 22.7], [123.7, 23.7], [122.7, 24.7], [121.8, 25.4], [120.9, 26.1], [120.2, 27.0], [120.1, 28.1], [120.5, 29.3], [121.2, 30.7], [122.2, 32.4], [123.5, 34.7], [125.7, 37.9], [127.5, 39.7], [130.5, 41.3]]"
1959-CHARLOTTE,1959/10/09,00:00,"[[137.6, 10.2], [136.9, 10.8], [136.2, 11.4], [135.5, 11.9], [134.8, 12.5], [134.1, 15.0], [133.6, 15.4], [133.1, 13.7], [132.2, 14.2], [131.4, 14.5], [130.6, 14.9], [129.8, 15.2], [128.9, 15.6], [128.1, 16.0], [127.3, 16.5], [126.6, 17.0], [125.9, 17.7], [125.6, 18.2], [125.3, 18.7], [125.0, 19.2], [124.9, 19.5], [124.6, 20.1], [124.3, 20.7], [124.3, 21.3], [124.4, 21.7], [124.7, 22.3], [125.1, 23.0], [125.7, 23.7], [126.5, 24.5], [127.4, 25.1], [128.2, 25.6], [128.8, 26.2], [129.5, 26.5], [130.1, 27.0], [130.7, 27.4], [131.4, 27.8], [132.7, 28.7], [134.6, 30.0], [136.4, 31.2], [139.3, 32.8], [142.8, 34.8], [144.6, 34.7], [147.0, 34.5], [152.0, 35.0]]"
1959-ELLEN,1959/08/02,06:00,"[[138.1, 19.1], [137.3, 20.1], [136.5, 21.0], [135.7, 21.9], [134.7, 22.7], [133.5, 23.3], [132.3, 23.8], [131.0, 24.0], [130.2, 24.3], [129.4, 24.8], [128.8, 25.4], [128.6, 26.2], [128.2, 27.8], [127.6, 28.7], [127.3, 29.3], [127.1, 29.8], [126.9, 30.3], [126.9, 30.8], [127.4, 31.6], [128.2, 31.6], [128.7, 30.8], [129.2, 30.6], [130.0, 30.8], [131.1, 31.5], [132.3, 32.3], [133.7, 33.3], [135.3, 34.2], [137.1, 34.9], [138.9, 35.4], [141.3, 36.0], [143.5, 36.5], [145.5, 37.2], [147.0, 38.3], [148.0, 40.0], [150.2, 40.5], [152.0, 41.8], [153.0, 42.5], [155.0, 43.2], [158.0, 43.5], [161.0, 44.0], [164.5, 44.2], [166.5, 44.5]]"
1959-EMMA,1959/11/05,06:00,"[[148.2, 11.8], [147.3, 12.0], [146.5, 12.3], [145.6, 12.7], [144.7, 12.9], [143.7, 13.2], [142.6, 13.4], [141.3, 13.6], [140.0, 13.7], [138.9, 13.9], [138.2, 14.2], [137.8, 14.5], [137.6, 14.7], [136.6, 15.1], [135.2, 15.3], [133.9, 15.5], [132.5, 15.5], [131.3, 15.6], [130.3, 15.7], [129.2, 15.8], [128.3, 16.1], [127.4, 16.6], [126.4, 17.2], [125.5, 18.0], [124.9, 19.0], [124.4, 20.2], [124.2, 21.2], [124.2, 22.2], [124.8, 23.3], [126.2, 24.3], [128.2, 25.7], [130.5, 26.8], [133.3, 27.7], [136.3, 28.4], [140.3, 29.4], [141.5, 29.0], [143.0, 28.8], [146.5, 27.5], [150.5, 28.0], [153.5, 28.5]]"
1959-FREDA,1959/11/13,00:00,"[[137.5, 9.1], [136.1, 9.4], [134.6, 9.6], [133.4, 9.7], [132.4, 9.8], [131.5, 10.0], [130.6, 10.2], [129.6, 10.6], [128.7, 11.0], [127.7, 11.6], [126.7, 12.1], [125.8, 12.7], [124.8, 13.3], [123.9, 13.9], [123.0, 14.6], [122.3, 15.4], [121.7, 16.3], [121.3, 17.2], [120.8, 18.2], [120.5, 19.4], [120.4, 20.6], [120.7, 21.8], [121.5, 22.9], [122.6, 24.0], [124.3, 25.0], [126.6, 25.9], [130.2, 26.9], [134.1, 28.0], [138.5, 29.0], [142.5, 30.0], [148.0, 31.0], [155.0, 30.5], [160.0, 30.0]]"
1959-IRIS,1959/08/19,00:00,"[[128.4, 16.2], [128.0, 16.2], [127.3, 16.3], [126.8, 16.3], [126.1, 16.4], [125.5, 16.6], [124.8, 16.8], [124.1, 17.2], [123.7, 17.4], [123.2, 17.9], [122.5, 18.5], [121.6, 19.4], [120.9, 20.3], [120.2, 21.4], [119.3, 22.6], [118.4, 23.9], [117.3, 25.0], [114.0, 27.0], [111.0, 28.5], [108.0, 30.5]]"
1959-JOAN,1959/08/25,06:00,"[[143.2, 15.5], [142.2, 15.5], [141.1, 15.6], [140.1, 15.7], [139.0, 15.8], [137.8, 15.9], [136.7, 16.2], [135.7, 16.4], [134.5, 16.8], [133.3, 17.2], [132.0, 17.7], [130.4, 18.4], [128.8, 19.2], [127.2, 20.0], [125.6, 20.8], [124.5, 21.5], [123.5, 22.2], [122.0, 23.2], [120.9, 23.9], [119.9, 24.7], [118.9, 25.4], [117.9, 26.2], [116.8, 26.9], [117.5, 28.2], [118.2, 29.6], [119.7, 30.5]]"
1959-KATE,1959/08/25,00:00,"[[128.1, 14.5], [127.5, 14.4], [126.8, 14.3], [126.2, 14.4], [125.5, 14.5], [124.7, 14.6], [124.0, 14.8], [123.4, 15.5], [123.2, 16.0], [123.3, 16.5], [123.5, 17.0], [124.0, 17.5]]"
